MEDIUM|internal/tdmigrate/fixtures_test.go:96|Test expects tabs rejected but yaml.v3 allows tab indentation|Add custom tab-checking before decode, or configure decoder to reject tabs|correctness|5|code-review|patricia|MEDIUM
LOW|internal/tdmigrate/run.go:54|newFlags(name, args, stderr) accepts an args parameter it never uses; every caller passes args and then separately calls fs.Parse(args). The dead parameter implies newFlags performs the parse (it does not), inviting a future bug where a caller reads the flag value before Parse has run and silently gets the default.|Drop the unused args parameter from newFlags; parsing already lives correctly in each caller.|maintainability|5|code-review|claude|MEDIUM
LOW|internal/tdmigrate/run.go:59|newFlags defines --readme for generate/validate where unused|Use subcommand-specific flag sets to avoid confusion|maintainability|5|code-review|bruce|MEDIUM
LOW|internal/tdmigrate/run.go:65|Subcommand-level help (`td-migrate migrate -h`) returns flag.ErrHelp from fs.Parse, which the code treats as a generic parse error and returns exit 2 with the usage text on stderr — inconsistent with the top-level `help`/`-h` handler that returns exit 0 to stdout.|After fs.Parse, special-case errors.Is(err, flag.ErrHelp) to return 0 (and route help text to stdout). The fix applies to all three subcommands.|maintainability|15|code-review|claude|MEDIUM
MEDIUM|internal/tdmigrate/run.go:65|migrate validates shards but doesn't validate items before writing|After fs.Parse, special-case errors.Is(err, flag.ErrHelp) to return 0 (and route help text to stdout). The fix applies to all three subcommands.|maintainability|15|code-review|bruce|MEDIUM
MEDIUM|internal/tdmigrate/run.go:96|migrate validates shards but doesn't validate items before writing|Add item-level validation call before WriteShards|correctness|10|code-review|bruce|MEDIUM
LOW|internal/tdmigrate/shard.go:37|ShardFilename interpolates s.Date raw into the filename while only the Label is slug-sanitized, and Shard.Validate checks only that Date is non-empty, never the documented YYYY-MM-DD format. Reaching this via migrate is safe because ParseREADME regex-constrains the date, but a hand-authored or merge-corrupted shard whose date contains path separators would compose a directory-escaping path and still pass Validate.|Enforce the `^\\d{4}-\\d{2}-\\d{2}$` format in Shard.Validate and reject any composed filename containing a path separator before WriteShards uses it.|security|30|code-review|claude|MEDIUM
HIGH|internal/tdmigrate/shard.go:75|Unconditional deletion of all *.yaml in target directory risks data loss (disagreement: MEDIUM vs HIGH)|Restrict deletion to files matching a specific prefix or pattern owned by the tool|correctness|10|code-review|greta,bruce,bob|HIGH
MEDIUM|internal/tdmigrate/shard.go:91|WriteShards prunes *.yaml files without confirming they're shard files|Check file content prefix before deletion|correctness|15|code-review|bruce|MEDIUM
MEDIUM|internal/tdmigrate/validate.go:22|DecodeShardStrict calls dec.Decode exactly once, so a shard file containing a second YAML document (a document separator produced by an accidental concatenation or bad merge) decodes only the first document and silently discards the rest with a nil error. This is a hole in the strict-load gate that AC4 promises will fail loudly on malformed input.|After the first successful Decode, call dec.Decode(&throwaway) again and require it to return io.EOF; any other result (nil or parse error) means trailing content and must be a hard error. Add a fixture with a two-document shard.|correctness|30|code-review|claude|MEDIUM
MEDIUM|internal/tdmigrate/validate.go:44|ValidateDir and LoadShards locate shards with filepath.Glob, which returns (nil, nil) for a directory that does not exist (Glob only errors on a malformed pattern). So `td-migrate validate --items /typo/path` returns exit 0 with "0 shard(s) OK" — the validation gate silently reports success when pointed at a wrong, unmounted, or pre-migration directory.|Stat the directory and hard-error if it is missing; optionally return a sentinel error when zero shard files are found so the caller decides whether emptiness is acceptable rather than treating no-files as all-valid.|error-handling|30|code-review|bruce,claude|MEDIUM
