SEVERITY|FILE:LINE|PROBLEM|FIX|CATEGORY|EST_MINUTES|SOURCE|REVIEWERS|CONFIDENCE
MEDIUM|internal/reconcile/disagree.go:174|Inconsistent out-of-scope filtering|Normalize JSONFinding.Category with ToLower/TrimSpace like allOutOfScope|correctness|5|code-review|bruce|MEDIUM
LOW|internal/reconcile/disagree.go:244|scoreFor computes float64(spread * independence): the multiplication runs in int before the float conversion. independence is len(f.Reviewers), an unbounded slice length from external findings.json, so the widen-after-multiply ordering does not guard against overflow (unreachable for realistic inputs, but the type does not protect it).|Convert operands before multiplying: float64(spread) * float64(independence). Existing scoring tests should pass unchanged.|correctness|5|code-review|claude|MEDIUM
LOW|internal/reconcile/disagree.go:280|Duplicate writeRadarSection rendering logic risks divergent escaping across packages|Consolidate radar rendering into report package; reconcile should call report.writeRadarSection|security|20|code-review|greta|MEDIUM
MEDIUM|internal/reconcile/disagree.go:288|spreadFromDisagreement accepts invalid severities|Add a defensive nil guard at function entry or document the precondition as a hard contract; add a unit test calling verificationItem with nil Verification asserting no panic.|correctness|15|code-review|bruce|MEDIUM
LOW|internal/reconcile/disagree.go:307|verificationItem dereferences f.Verification.Skeptic with no nil guard of its own; safety is entirely positional (relies on the caller's prior isVerificationTie check in the switch). A future call path without that precondition panics with a nil dereference.|Add a defensive nil guard at function entry or document the precondition as a hard contract; add a unit test calling verificationItem with nil Verification asserting no panic.|correctness|15|code-review|claude|MEDIUM
LOW|internal/reconcile/disagree.go:350|Duplicated radar section rendering logic|Extract shared writeRadarSection to a common package|maintainability|10|code-review|bruce|MEDIUM
MEDIUM|internal/reconcile/disagree.go:354|Duplicated radar markdown rendering diverges|Extract shared writer or make reconcile use report package's escTrunc|maintainability|10|code-review|bruce|MEDIUM
LOW|internal/reconcile/disagree.go:413|Redundant implementation of writeRadarSection|Remove duplicate function from internal/reconcile and use internal/report|maintainability|15|code-review|otto|MEDIUM
MEDIUM|internal/reconcile/disagree.go:430|Missing import for html/template|Add "html/template" to imports|correctness|5|code-review|bruce|MEDIUM
LOW|internal/reconcile/disagree_test.go:131|Gray-zone out-of-scope exclusion is untested -- neither branch of allOutOfScope (disagree.go:135-143,166-176) has coverage. No test feeds a cluster where every member is out_of_scope (expect skipped) nor a mixed cluster with one in-scope member (expect kept), so the fail-closed semantics are unverified.|Add two cases: (1) all members out_of_scope -> zero gray_zone items; (2) mixed cluster -> the gray_zone item survives.|testing|30|code-review|claude|MEDIUM
MEDIUM|internal/reconcile/disagree_test.go:142|Determinism is under-tested against the actual risk. TestBuildDisagreements_DeterministicOrdering (and TestEmit_DeterministicOutput) call the builder twice on the SAME slice order, proving only referential transparency/idempotence -- not sort-stability under shuffled input, which is the AC3 determinism contract. A broken tie-break (dropping the kind-asc or problem-asc keys in sortDisagreements) would still pass; the lower tie-break tiers (line/kind/problem asc, disagree.go:449-456) are never exercised.|Build the same items in two different slice orders (or shuffle with a fixed seed) and assert identical df.Items, and add a case where two items share score+severity+file so line/kind/problem asc decide order.|testing|30|code-review|claude|MEDIUM
LOW|internal/reconcile/disagree_test.go:240|No test pins the documented load-bearing contract that the snapshot disagreements.json EXCLUDES the verification_disagreement tier (disagree.go:69-71 claims it is surfaced only by the live radar). TestEmit_WritesDisagreementsJSON feeds only a severity split, so a future change letting a verification tie leak into the persisted snapshot would not fail. The same gap leaves the snapshot-vs-live-rebuild equivalence (emit.go:114 BuildDisagreements over r.Ambiguous vs the live LoadDisagreements re-read) without any invariant.|Add a test running Emit with a merged finding carrying an unverifiable 2-skeptic Verification block, read back disagreements.json, assert no item has Kind==KindVerificationDisagreement, while the same input through the live RenderDisagreements path does surface it.|testing|30|code-review|claude|MEDIUM
MEDIUM|internal/reconcile/disagree_test.go:286|TestDisagreementsSchema_StableContract pins the Epic 6.0 handoff contract only with assert.Contains on each field-name substring. It does not pin JSON value types, nesting, or the positions/skeptics/detail keys, and cannot detect a field moving or being retyped (e.g. score becoming a string, line nesting under an object) -- Contains matches the quoted key regardless of structure. A downstream Epic 6.0 consumer could break while this test stays green.|Unmarshal into map[string]any (or a golden fixture) and assert the exact top-level and per-item key sets plus each value's Go type (score float64, line int, reviewers array). Drive a gray-zone input so the nested Position contract (reviewer/severity/problem) is pinned.|testing|30|code-review|claude|MEDIUM
LOW|internal/reconcile/disagree_test.go:328|TestBuildDisagreements_GrayZoneAllUnknownSeverityStillScoresAboveZero asserts only Score > 0.0, weaker than the impl/intent: the floor is exactly 1 (disagree.go:345-347) and the test comment claims it should rank "above a LOW solo (rank 1)" -- but a floor of 1 ties LOW rank 1, it is not above. The assertion would pass even at 0.0001, which would not achieve the stated ranking goal, and the comment is slightly inaccurate.|Assert the exact floor (Score == 1.0) and, better, add a LOW solo to the same input asserting the gray-zone cluster sorts at-or-above it; correct the comment to "at or above a LOW solo".|testing|15|code-review|claude|MEDIUM
LOW|internal/reconcile/emit.go:113|BuildDisagreements(r.JSONFindings(), r.Ambiguous) runs twice per Emit -- once for the DisagreementsJSON writer (emit.go:114) and again inside RenderMarkdown (emit.go:264) -- each rebuilding the identical radar (JSONFindings allocation + gray-key map build + sort), redundant O(n log n) work on the reconcile path.|Build the radar once at the top of Emit and pass the DisagreementsFile to both the DisagreementsJSON writer and RenderMarkdown.|performance|30|code-review|claude|MEDIUM
LOW|internal/reconcile/emit.go:207|ReadDisagreements unmarshals disagreements.json without ever checking SchemaVersion, so a future 2.0 file would parse into the 1.0 struct with silent field loss -- exactly the drift the version constant exists to guard against. The version is written but never validated on read, making it decorative for the Epic 6.0 consumer it was added for.|Have ReadDisagreements validate df.SchemaVersion against DisagreementsSchemaVersion (at least major-version compatibility) and error on mismatch.|maintainability|30|code-review|claude|MEDIUM
MEDIUM|internal/report/disagree.go:47|The radar markup is rendered by two divergent copies: writeRadarSection + formatScore in internal/report/disagree.go and a structurally different copy in internal/reconcile/disagree.go:389. They are intentionally not identical (report copy truncates via escTrunc + uses joinReviewers/reviewerOrUnknown; reconcile copy uses uncapped esc + joinOrNone), so a future markup change (new field, reordered bullets) must be made in both or the live `atcr report` radar and the archival reconciled/report.md silently drift.|Extract one shared item renderer parameterized by a truncate-vs-verbatim flag and heading prefix; have both call sites delegate. Add a test that diffs the rendered markup of both paths on the same DisagreementsFile asserting the only intended difference is truncation.|correctness|60|code-review|bruce,claude|HIGH
MEDIUM|internal/report/disagree.go:55|esc (HTML-escape + newline-flatten) does not escape backticks, so reviewer-controlled fields rendered through esc in a normal bullet (reviewer names, severity, skeptics, disagreement) can contain a backtick that opens an inline code span affecting the rest of that line. codeSpan guards backticks only for the file path. Low impact (single line, HTML still escaped) but an un-neutralized markdown metacharacter in model-controlled fields. (disagreement: LOW vs MEDIUM)|Escape backticks in esc for non-codeSpan fields, or accept and document the single-line cosmetic risk. Verify with a reviewer name containing a backtick.|correctness|15|code-review|bruce,claude|HIGH
MEDIUM|internal/report/disagree.go:74|Missing return statement in formatScore|Add return statement for the false case|correctness|5|code-review|bruce|MEDIUM
LOW|internal/report/disagree_test.go:14|RenderDisagreementsJSON (the atcr report --disagreements --format json public entry point, disagree.go:36-43) has zero test coverage in report/disagree_test.go; a marshal regression or a missing trailing newline would ship undetected.|Add a TestRenderDisagreementsJSON that renders a built DisagreementsFile, asserts valid JSON round-trips back to an equal struct, and asserts the trailing newline the impl appends.|testing|15|code-review|claude|MEDIUM
LOW|internal/report/disagree_test.go:105|Radar injection/escape coverage is partial: TestRenderDisagreements_EscapesFreeText injects only into a Problem on a solo finding. The Positions block, Skeptics, Detail, and Disagreement fields each route through esc/escTrunc separately (disagree.go:62-85) and are untested for escaping; the report-layer escTrunc 500-rune truncation is also unpinned; and TestRenderDisagreements_GrayZoneShowsPositionsSideBySide asserts each token appears somewhere (bag-of-tokens) rather than that a reviewer is paired with its own severity/problem on one Positions line.|Inject script/backtick into a gray-zone member Problem+Reviewer and a Skeptics string asserting none render unescaped; add an escTrunc-cap assertion; and assert structural pairing (e.g. "greta -- HIGH: buffer overrun risk" on one line).|testing|30|code-review|claude|MEDIUM
LOW|internal/report/render.go:412|severityRank is defined separately in internal/report/render.go and internal/reconcile/merge.go; the radar sort (reconcile copy via sortDisagreements) and the report-view severity grouping (report copy) depend on different maps. A future severity-tier change added to only one map silently mis-ranks the radar in one view. Epic 3.2 deepened this coupling.|Export one canonical SeverityRank from reconcile and have report reference it; add a test ranking the same finding identically across both views.|maintainability|30|code-review|claude|MEDIUM
