# Merged TD Stream from direct review
# SEVERITY|FILE:LINE|PROBLEM|FIX|CATEGORY|EST_MINUTES|EVIDENCE|REVIEWER

HIGH|internal/debate/cluster.go:62|Early return optimization|Move len(mergedIDs)==0 check before item loop|performance|2|Avoid looping through items when no merged clusters|bruce
HIGH|internal/debate/cluster.go:13|Misleading comment|Update comment to reflect ClusterID-based filtering|maintainability|2|Comment still mentions File+Line keying|bruce
HIGH|internal/debate/cluster.go:20|Misleading comment|Update comment about legacy ClusterMerged behavior|maintainability|2|Comment doesn't mention ClusterID emptiness check|bruce
HIGH|internal/debate/cluster_test.go:92|Overly specific test assertion|Assert on Problem field instead of item identity|maintainability|3|Test asserts specific problem string rather than verifying cluster survival|bruce
HIGH|internal/debate/cluster_test.go:118|Incomplete legacy test|Missing assertion that ClusterID field is absent in legacy finding|maintainability|3|Test doesn't verify omitempty behavior for ClusterID|bruce
HIGH|internal/reconcile/emit.go:112|Missing documentation|Add unit test for ClusterID field omitempty behavior|maintainability|5|No test verifying pre-6.2 byte identity|bruce
LOW|internal/debate/cluster.go:66|Potential for silent re-debate on problem drift|The check `clusterIdx[FindingKey{...}]` will fail if the problem text drifts, causing a re-debate. While documented as intended, it differs from the previous `locationKey` behavior which was more resilient to drift.|maintainability|15|`if c, ok := clusterIdx[FindingKey{...}]; ok && mergedIDs[c.ID]`|otto
LOW|internal/debate/cluster.go:68|Potential nil map panic if indexClusters returns nil|Initialize clusterIdx as empty map in indexClusters or guard lookup|correctness|2|clusterIdx lookup safe in Go but defensive init improves robustness|bruce
HIGH|internal/debate/cluster.go:73|Nil clusterIdx causes panic on gray-zone item|Add nil check for clusterIdx before lookup|correctness|5|clusterIdx[FindingKey{...}] panics if nil|bruce
MEDIUM|internal/debate/cluster.go:73|FindingKey lookup uses item.Problem which may not match cluster's representative problem|Use cluster's canonical problem from indexClusters or add fallback|correctness|10|clusterIdx keyed by representative problem but item.Problem may differ|bruce
LOW|internal/reconcile/emit.go:115|ClusterID field lacks validation for empty string vs omitted|Document that empty string and omitted are treated identically|maintainability|5|omitempty handles both but semantics unclear|bruce
LOW|internal/debate/cluster.go:74|filterMergedClusters may use incorrect cluster ID if two distinct clusters yield identical FindingKey in indexClusters|Document collision limitation in indexClusters or switch to a multi-map|correctness|10|clusterIdx[FindingKey{File,Line,Problem}] can overwrite entries when clusters share display problem|code-reviewer
