HIGH|internal/verify/syntaxguard.go:55|jsonKeyLineRe (`^\s*"[^"]*"\s*:`) uses a non-escape-aware character class, so a JSON object whose ONLY member key contains an escaped quote (e.g. "a\"b": 1) does not match. looksLikeNonGoBraces then returns false, the block-brace signal fires, and the single-key escaped-quote JSON object is spuriously flagged invalid_syntax — the same false-positive class Epic 7.5 set out to close. Verified empirically: validateGoFixSyntax returns "illegal label declaration". Multi-key objects are unaffected because a sibling clean-key line still matches, so blast radius is narrow. (disagreement: LOW vs HIGH)|Widen jsonKeyLineRe to tolerate backslash-escapes in the key using an escape-aware character class (allow a non-quote/non-backslash char OR a backslash-escaped char between the quotes; RE2-safe, no backtracking). Add a single-key fixture {\n  "a\"b": 1\n} to syntaxguard_test.go asserting NoError. Alternatively accept and document the boundary as a known narrow limitation.|maintainability|15|code-review|agent,otto,greta,Residual FP for `{"a\"b":1}`; conservative-recall tolerant,bruce,claude,Regex `[^"]*` cannot match `\"` in keys like `"foo\"bar":`|HIGH
HIGH|internal/verify/syntaxguard_test.go:315|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:322|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:329|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:336|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:343|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:350|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:357|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:364|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:371|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:378|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:385|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:392|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:399|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:406|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:413|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:420|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:427|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:434|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:441|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:448|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:455|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:462|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:469|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:476|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:483|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:490|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:497|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:504|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:511|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:518|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:525|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:532|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:539|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:546|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:553|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:560|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:567|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:574|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:581|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:588|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:595|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:602|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:609|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:616|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:623|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:630|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:637|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:644|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:651|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:658|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:665|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:672|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:679|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:686|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:693|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:700|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:707|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:714|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:721|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:728|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:735|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:742|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:749|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:756|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:763|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:770|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:777|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:784|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:791|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:798|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:805|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:812|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:819|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:826|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:833|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:840|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:847|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:854|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:861|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:868|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:875|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:882|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:889|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:896|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:903|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:910|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:917|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:924|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:931|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:938|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:945|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:952|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:959|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:966|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:973|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:980|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:987|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:994|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1001|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1008|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1015|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1022|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1029|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1036|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1043|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1050|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1057|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1064|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1071|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1078|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1085|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1092|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1099|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1106|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1113|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1120|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1127|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1134|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1141|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1148|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1155|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1162|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1169|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1176|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1183|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1190|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1197|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1204|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1211|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1218|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1225|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1232|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1239|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1246|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1253|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1260|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1267|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1274|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1281|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1288|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1295|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1302|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1309|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1316|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1323|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1330|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1337|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1344|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1351|Inconsistent test function spacing|Add blank line after test function|maintainability|1|code-review|agent|MEDIUM
HIGH|internal/verify/syntaxguard_test.go:1358|Inconsistent test function spacing|Add blank line after test function|maintainability=1|0|code-review|bob2|MEDIUM
