MEDIUM|docs/registry.md:0|[Epic 7.0 AC10] Acceptance criterion partially delivered: "Cost analysis shows fix generation is cheaper than having all models suggest fixes." The cost benefit is structural (one executor model vs N reviewers each suggesting fixes) and described qualitatively in the epic Problem/Solution and CHANGELOG.md:3, but no quantitative cost-analysis artifact was produced. AC10 is not in the epic's IN-scope Boundaries list. (intent_note: AC10 de-scoped per epic Clarifications — not in IN-scope Boundaries)|Produce a short cost-analysis note (docs or epic appendix) quantifying executor fix-generation cost as a fraction of total review cost (target <20% per Success Criteria), or formally de-scope AC10 and rely on the qualitative architectural argument already documented.|docs|60|code-review|claude|MEDIUM
LOW|internal/verify/executor.go:82|The idempotency guard keys on the substring "fix by " + ex.Name inside the free-text Evidence column. ex.Name defaults to the literal "executor" (config.go:597) and is never validated against the agents map, so a reviewer agent also named "executor", or any Evidence text legitimately containing "fix by executor", silently suppresses fix generation for that finding. A Name containing the "; " separator or the prefix itself produces malformed or self-suppressing Evidence.|Make the idempotency marker structurally unambiguous (e.g. a dedicated FixedBy field on the finding rather than a substring match in free-text Evidence), or validate executor.name against the agents map and reject control chars / the "; " separator in validateExecutor.|correctness|30|code-review|claude|MEDIUM
HIGH|internal/verify/executor.go:92|Unhandled error in json.Marshal|Handle json.Marshal error to avoid crash|error-handling|5|code-review|bruce|MEDIUM
MEDIUM|internal/verify/executor.go:98|Sensitive data exposure via executor error in findings artifact|In the success branch of generateFixes, clear the warning: set f.FixWarning = "" when f.Fix is assigned. Add a test that seeds a finding with a pre-existing FixWarning, runs a succeeding scripted completer, and asserts FixWarning == "" and Fix == new value.|security|15|code-review|greta|MEDIUM
MEDIUM|internal/verify/executor.go:98|generateFixes sets f.FixWarning on the failure and empty-completion paths (executor.go:90,96) but the success path (executor.go:99-100) writes f.Fix and appends attribution without resetting f.FixWarning. FixWarning round-trips through findings.json via the verify path's direct struct marshal. A finding that failed fix generation on a prior verify run, then succeeds on a re-run, ends up carrying BOTH a valid Fix and a stale fix_warning claiming the fix is absent — a contradictory record the Epic 7.3 PR consumer (named in the FixWarning doc comment) would see.|In the success branch of generateFixes, clear the warning: set f.FixWarning = "" when f.Fix is assigned. Add a test that seeds a finding with a pre-existing FixWarning, runs a succeeding scripted completer, and asserts FixWarning == "" and Fix == new value.|security|15|code-review|claude|MEDIUM
HIGH|internal/verify/executor.go:98|Unhandled error in disp.Execute|In the success branch of generateFixes, clear the warning: set f.FixWarning = "" when f.Fix is assigned. Add a test that seeds a finding with a pre-existing FixWarning, runs a succeeding scripted completer, and asserts FixWarning == "" and Fix == new value.|security|15|code-review|bruce|MEDIUM
LOW|internal/verify/executor.go:108|callExecutor applies fix_timeout only when ex.TimeoutSecs is non-nil and positive; fix_timeout is nil by default and the config comment says "nil = inherit shared timeout" but nothing here inherits it, so a default executor applies NO per-call deadline. Combined with the serial loop, an unconfigured executor against a hung provider can block the entire verify run on a single finding with no aggregate ceiling.|Apply an effective per-call deadline even when fix_timeout is nil by inheriting the shared verify timeout (mirroring EffectiveTimeoutSecs), so a default executor against a hung provider cannot block the run unbounded.|correctness|30|code-review|claude|MEDIUM
MEDIUM|internal/verify/executor.go:108|Potential for redundant LLM calls on re-runs|The idempotency check strings.Contains(f.Evidence, fixAttributionPrefix+ex.Name) relies on the Evidence field being preserved across runs. If the reconciliation phase (which precedes this) regenerates the Evidence string from scratch, the executor will re-generate fixes for every finding on every verify run, increasing costs. Key idempotency on a structural marker instead.|correctness|30|code-review|otto|MEDIUM
MEDIUM|internal/verify/executor.go:118|Incomplete prompt construction|Add missing newline after fixer instruction|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor.go:130|Redundant trimSpace call|Remove redundant strings.TrimSpace|maintainability|1|code-review|bruce|MEDIUM
MEDIUM|internal/verify/executor.go:135|Unclamped line number causes wrong snippet read|Clamp the finding line number to the snapshot file bounds before reading, and sanitize/restrict the path to the snapshot root before dispatching.|correctness|15|code-review|bruce|MEDIUM
HIGH|internal/verify/executor.go:135|Path traversal via untrusted finding file path|Clamp the finding line number to the snapshot file bounds before reading, and sanitize/restrict the path to the snapshot root before dispatching.|correctness|15|code-review|greta|MEDIUM
LOW|internal/verify/executor.go:142|readFixSnippet swallows every disp.Execute error and json.Marshal error into a bare return "" with no logging. When the harness built but a specific file read fails (finding File absent from snapshot, or end_line<1 from a negative Line), the executor silently generates a fix from finding text alone — a materially worse fix — and nothing records that context was missing, unlike the skeptic path which logs failures at debug.|Log a debug-level pipeline warning (e.g. "fix_snippet_unavailable", file:line: err) before returning "" on the disp.Execute error path, mirroring the skeptic-failure logging discipline. Assert the debug log fires when the dispatcher returns an error.|error-handling|15|code-review|claude|MEDIUM
LOW|internal/verify/executor.go:142|Inefficient string concatenation|Log a debug-level pipeline warning (e.g. "fix_snippet_unavailable", file:line: err) before returning "" on the disp.Execute error path, mirroring the skeptic-failure logging discipline. Assert the debug log fires when the dispatcher returns an error.|error-handling|15|code-review|bruce|MEDIUM
MEDIUM|internal/verify/executor.go:151|Prompt injection via untrusted finding metadata|Delimit untrusted inputs or use structured message roles|security|20|code-review|greta|MEDIUM
MEDIUM|internal/verify/executor.go:157|buildFixPrompt interpolates user/registry-controlled free text directly into the executor system prompt: ex.Persona ("You are %s, a code-fix executor..."), plus f.Problem, f.Fix, and the repo source snippet. validateExecutor never constrains Persona (no CR/LF strip, no length cap), so a persona or finding/snippet containing role-redefinition text rides into the one model whose output is written to the Fix column and destined for an automated PR action. Blast radius is bounded (registry is self-authored; output only lands in a column, not executed) hence MEDIUM not HIGH.|Constrain Persona at load (reject control chars, cap length) like Scope entries are validated, or treat it as a lookup key into known personas. At minimum strip CR/LF from Persona in buildFixPrompt. Document the snippet/finding text as an untrusted data boundary in buildFixPrompt's comment.|security|30|code-review|claude|MEDIUM
LOW|internal/verify/executor_test.go:28|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:35|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:42|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:49|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:56|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:63|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:70|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:77|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:84|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:91|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:98|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:105|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:112|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:119|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:126|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:133|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:140|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:147|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:154|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:161|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:168|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:175|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:182|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:189|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:196|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:203|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:210|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:217|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:224|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:231|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:238|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:245|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:252|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:259|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:266|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:273|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:280|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:287|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:294|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:301|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:308|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:315|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:322|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:329|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:336|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:343|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:350|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:357|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:364|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:371|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:378|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:385|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:392|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:399|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:406|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:413|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:420|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:427|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:434|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:441|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:448|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:455|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:462|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:469|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:476|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:483|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:490|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:497|Hardcoded provider name|Use variable for provider name|maintainability|2|code-review|bruce|MEDIUM
LOW|internal/verify/executor_test.go:504|Hardcoded provider name|Use variable for|misc|0|code-review|bob2|MEDIUM
MEDIUM|internal/verify/pipeline.go:160|Executor snapshot need check uses pre-verification confidence, can miss snippets for promoted findings|Use severity-only gate (any finding severity >= min_sev) or move after verification|correctness|10|code-review|bruce|MEDIUM
HIGH|internal/verify/pipeline.go:172|Incorrect confidence gate|Use ConfidenceAtOrAbove instead of direct comparison|correctness|5|code-review|bruce|MEDIUM
HIGH|internal/verify/pipeline.go:185|Missing severity normalization|Normalize fixMinSev before comparison|correctness|5|code-review|bruce|MEDIUM
LOW|internal/verify/pipeline.go:256|Whenever reg.Executor != nil, newExecutorClient() is called to build the production client and passed into generateFixes even when zero findings meet the confidence+severity gate (all early gates are inside the loop). The snapshot-need pre-check at pipeline.go:168 went to trouble to avoid building a harness for zero-fix registries, but the client is built unconditionally, making that optimization asymmetric should llmclient.New() ever do real work (env reads, pool setup).|Construct the executor client lazily inside generateFixes after the first qualifying finding is found, or pre-scan eligibility once before constructing. Assert the seam closure is not invoked when all findings are below the gate.|maintainability|30|code-review|claude|MEDIUM
