LOW|go.mod:8|wazero marked indirect but is direct dependency|Run go mod tidy to fix directive|maintainability|1|code-review|bruce|MEDIUM
MEDIUM|internal/astgroup/grouper.go:103|treeFor holds the single grouper mutex g.mu across os.ReadFile and parser.Parse (grouper.go:103-125). A wasm parse of a large file can take many ms to seconds; while it runs, every other GroupKey call, including cache hits for unrelated files, blocks on the same mutex. This serializes all parsing across all files and languages, undermining the <10ms repeat-parse NFR and the safe-for-concurrent-use claim under real concurrency.|Release g.mu before the slow read/parse using a per-file in-flight latch (placeholder with its own sync.Once/channel, parse outside the lock, then store), so distinct files parse concurrently and cache hits never wait on an in-progress parse. Verify with a concurrent benchmark across two large files (wall time ~= max not sum).|performance|120|code-review|claude|MEDIUM
MEDIUM|internal/astgroup/grouper.go:113|Every failure mode in treeFor (path escape, read error, parser load failure, parse error) is swallowed and cached as a silent negative; astGrouperFor and Close discard errors too. If the embedded parsers fail to load wholesale, or Root points at the wrong tree, the adopted primary signal silently degrades to 100% proximity with zero diagnostic output: the operator believes they have AST grouping but get none, indistinguishable from a clean run.|Surface at least a one-line warning/metric when AST grouping yields zero keyed clusters over a run that had parseable-language findings, or thread a debug writer into the grouper so degradation is observable. Do not promote a primary signal that can become a complete no-op invisibly.|maintainability|60|code-review|claude|MEDIUM
MEDIUM|internal/astgroup/grouper.go:117|treeFor caches a negative result for any os.ReadFile error (grouper.go:117-120) and never retries. Transient failures (file mid-write, momentary EMFILE, a lock) are conflated with permanent ones, so a file briefly unreadable during a reconcile is pinned ungroupable for the whole run even after it becomes readable. The comment justifies negative caching only for genuinely bad files.|Distinguish permanent failures (parse error, not-exist, path-escape) which deserve negative caching from transient I/O errors which should not be cached (or use a short-lived negative entry). Test a reader that returns EAGAIN once then succeeds and assert the second GroupKey groups.|error-handling|30|code-review|claude|MEDIUM
MEDIUM|internal/astgroup/grouper.go:117|Potential race condition in cache update|Distinguish permanent failures (parse error, not-exist, path-escape) which deserve negative caching from transient I/O errors which should not be cached (or use a short-lived negative entry). Test a reader that returns EAGAIN once then succeeds and assert the second GroupKey groups.|error-handling|30|code-review|otto|MEDIUM
MEDIUM|internal/astgroup/host.go:56|The runtime is created with default config (wazero.NewRuntime, host.go:56): no memory-pages limit. The 8MiB source cap bounds input, not guest heap: a hostile or buggy override plugin can grow linear memory toward wazero's multi-hundred-MiB default ceiling per language instance with nothing capping it. Combined with the no-timeout finding, the override-dir feature has no resource ceiling.|Construct the runtime with wazero.NewRuntimeConfig().WithMemoryLimitPages(n) sized to the parser's real need, at least for override-loaded modules. Verify a test plugin allocating beyond the limit fails gracefully rather than ballooning host RSS.|security|30|code-review|claude|MEDIUM
LOW|internal/astgroup/host.go:119|Close closes the runtime but leaves the parsers map populated and sets no closed flag. A subsequent Parser(lang) for an already-cached language returns a parser whose module is closed; the failure only surfaces later as an opaque error inside parse.Call. Use-after-close should be detected at the boundary.|Set a closed bool under mu in Close, clear/ignore the cache, and have Parser return a clear host-closed error. Test calling Parser after Close.|error-handling|15|code-review|claude|MEDIUM
MEDIUM|internal/astgroup/host.go:152|wasmParser.mu serializes all parses for the same language, so concurrent findings in one Go/Python file are single-threaded|Maintain a small pool of instantiated wasm modules per language and round-robin calls|performance|30|code-review|onestone|MEDIUM
LOW|internal/astgroup/host.go:163|Parser pointer-stability not guaranteed if initErr is non-nil after first success|Cache parser before returning on subsequent calls|correctness|5|code-review|dax|MEDIUM
MEDIUM|internal/astgroup/host.go:177|Hardcoded 8MB source limit rejects large files|Make maxSourceBytes configurable via Host option or increase to 64MB with documentation|performance|10|code-review|bob|MEDIUM
MEDIUM|internal/astgroup/host.go:181|Host.Close() is not idempotent and will error on double-close|Track a `closed bool` and return nil on subsequent calls|error-handling|10|code-review|onestone|MEDIUM
MEDIUM|internal/astgroup/host.go:185|maxSourceBytes check bypassed on empty src via alloc(1)|Guard maxSourceBytes before empty-src alloc adjustment|correctness|3|code-review|dax|MEDIUM
LOW|internal/astgroup/host.go:190|The comment at host.go:190 claims an empty source still yields a root node, but the flow passes len(src)==0 to parse.Call and the embedded Go parser fails on empty bytes and returns an error node, so Parse returns an error, not a root node. The behavior is safe (treeFor falls back to proximity) but the inline contract doc is wrong and will mislead a maintainer reasoning about the zero-length path.|Correct the comment to state empty source produces a parser error / proximity fallback, or short-circuit empty input to a synthetic root before the wasm call. Verify against pyparser/goparser empty-input behavior.|maintainability|15|code-review|claude|MEDIUM
MEDIUM|internal/astgroup/host.go:190|Unchecked wasm return length can cause OOM|Correct the comment to state empty source produces a parser error / proximity fallback, or short-circuit empty input to a synthetic root before the wasm call. Verify against pyparser/goparser empty-input behavior.|maintainability|15|code-review|greta|MEDIUM
HIGH|internal/astgroup/host.go:197|wasmParser.Parse indexes res[0] (alloc result) and pr[0] (parse result) with no length check on the returned slices. wazero sizes the result slice to the guest function's declared result count, so an override-dir .wasm whose alloc or parse exports zero results makes res[0]/pr[0] panic with index-out-of-range, crashing the reconcile gate that host.go:50-53 promises will degrade, not crash. WithOverrideDir is explicitly the untrusted drop-in path.|In host.go Parse, guard len(res)==0 and len(pr)==0 before indexing and return an error (Node{}, fmt.Errorf). Add a unit test instantiating a stub module whose alloc returns no results and assert an error, not a panic.|error-handling|30|code-review|claude|MEDIUM
HIGH|internal/astgroup/host.go:206|parse.Call is invoked with p.ctx = context.Background() (host.go:55): no deadline, no interpreter fuel budget. The maxSourceBytes comment (host.go:174-178) claims the 8MiB size cap removes the need for an execution-timeout watchdog, but a size cap bounds input length, not CPU. A pathological input or a hostile override plugin that loops forever hangs parse.Call indefinitely while holding p.mu, permanently wedging every future parse for that language.|Derive a per-call context.WithTimeout and pass it to parse.Call, and/or build the runtime with wazero.NewRuntimeConfig().WithCloseOnContextDone(true). Verify with a spinning test plugin that Parse returns a timeout error rather than hanging.|security|60|code-review|claude|MEDIUM
MEDIUM|internal/astgroup/host.go:216|Close races with in-flight Parse calls|Log a warning (e.g. `slog.Warn("astgroup: source too large, falling back to proximity", "size", n)`) so users know why AST grouping dropped|correctness|10|code-review|bruce|MEDIUM
MEDIUM|internal/astgroup/host.go:216|maxSourceBytes silently downgrades files >8 MiB to proximity grouping with no log|Log a warning (e.g. `slog.Warn("astgroup: source too large, falling back to proximity", "size", n)`) so users know why AST grouping dropped|correctness|10|code-review|onestone|MEDIUM
MEDIUM|internal/astgroup/host.go:216|Missing bounds check on alloc Call result|Log a warning (e.g. `slog.Warn("astgroup: source too large, falling back to proximity", "size", n)`) so users know why AST grouping dropped|correctness|10|code-review|bruce|MEDIUM
MEDIUM|internal/astgroup/host.go:234|Missing bounds check on parse Call result|Check len(pr)>0 before accessing pr[0]|correctness|5|code-review|bruce|MEDIUM
HIGH|internal/astgroup/merkle.go:14|MerkleHash uses unbounded recursion on AST depth|Replace with iterative post-order traversal or add depth limit to prevent stack overflow on deeply nested code|correctness|30|code-review|bob|MEDIUM
LOW|internal/astgroup/merkle.go:19|Both MerkleHash and coveringChain recurse over guest-supplied tree depth with no bound. The tree comes from untrusted JSON decoded in host.go:221; a deeply nested override-plugin output drives host-side recursion proportional to that depth, risking goroutine stack exhaustion. encoding/json caps decode nesting (~10000) so it is bounded today, but that bound is a decoder implementation detail, not an explicit invariant of this package.|Enforce an explicit max-depth on the decoded tree (reject or truncate in host.go after Unmarshal) so the recursive walks have a contract-level bound independent of the JSON decoder. Verify with a synthetic 50k-deep node tree.|error-handling|30|code-review|claude|MEDIUM
LOW|internal/astgroup/merkle.go:25|MerkleHash includes children's StartLine/EndLine via recursive hash of full Node|Split into an internal merkleSum(n) [32]byte that recurses on raw h.Sum(nil) bytes, and keep a thin public MerkleHash that hex-encodes only the root. Verify existing Merkle tests still pass (values change but invariance holds) and benchmark shows fewer allocs.|correctness|30|code-review|dax|MEDIUM
LOW|internal/astgroup/merkle.go:25|MerkleHash writes each child's hash into the parent as a 64-character hex string and returns hex at every level, so every internal node allocates a 64-byte string and feeds twice the necessary bytes into sha256, compounding through the recursion.|Split into an internal merkleSum(n) [32]byte that recurses on raw h.Sum(nil) bytes, and keep a thin public MerkleHash that hex-encodes only the root. Verify existing Merkle tests still pass (values change but invariance holds) and benchmark shows fewer allocs.|correctness|30|code-review|claude|MEDIUM
LOW|internal/astgroup/parsers/build.sh:15|Invalid -buildmode=c-shared for WASI wasm target|Pin the toolchain (GOTOOLCHAIN=go1.24.x) and assert go version at the top of build.sh. Add a CI job that runs build.sh then git diff --exit-code on the .wasm files so source/binary drift fails the build.|maintainability|120|code-review|bruce|MEDIUM
HIGH|internal/astgroup/parsers/build.sh:15|build.sh invokes whatever go is on PATH with no toolchain pin, no minimum-version check, and no GOTOOLCHAIN. The wasm export ABI requires a recent Go; nothing enforces it. The script header (lines 4-6) states it is NOT part of go build or CI, so the committed go.wasm/python.wasm artifacts can drift from their src/ source with zero detection, and -trimpath alone does not make two toolchain versions byte-reproducible.|Pin the toolchain (GOTOOLCHAIN=go1.24.x) and assert go version at the top of build.sh. Add a CI job that runs build.sh then git diff --exit-code on the .wasm files so source/binary drift fails the build.|maintainability|120|code-review|claude|MEDIUM
HIGH|internal/astgroup/parsers/src/goparser/go.mod:5|go.mod requires Go 1.26 which is unreleased/uncertain|Use the actually-installed Go version (e.g. 1.23) so `build.sh` can regenerate the .wasm|maintainability|5|code-review|onestone|MEDIUM
LOW|internal/astgroup/parsers/src/goparser/main.go:39|The guest pins alloc'd buffers and hands the host int32(uintptr(unsafe.Pointer(&b[0]))) as a stable guest offset, valid only because the current Go GC is non-moving. This is an undocumented runtime invariant, not a language guarantee; a future moving GC makes the packed pointer a dangling offset with no detection. The unsafe alloc/free/emit/node boilerplate is copy-pasted across goparser, pyparser, and the 13.4 brace parsers, so any ABI fix must be applied N times.|Extract the shared alloc/free/emit/pins ABI into one internal guest package imported by every parser main.go, and add a build-time note pinning the GC assumption (or switch to an explicitly reserved arena).|maintainability|120|code-review|claude|MEDIUM
LOW|internal/astgroup/parsers/src/goparser/main.go:47|`unsafe.Pointer(&b[0])` captured into an int32 key assumes a wasip1 reactor only; a future native build would yield a non-zero-segment pointer|Add a build-tag or `runtime.GOOS == "wasip1"` guard around the wasmexport code so misuse fails fast at build time|correctness|5|code-review|onestone|MEDIUM
LOW|internal/astgroup/parsers/src/goparser/main.go:68|The comment claims the syntax-error path emits a minimal file node so the host can fall back rather than crashing, but the code emits node{Kind:error}, which host.go:224-226 converts into a returned Go error, not a usable file node. Empty/whitespace source also behaves inconsistently across plugins: empty Go source is a parse error (error node -> host error) while empty Python source returns a valid module node with span [1,1]. Same ABI, divergent empty-input contract.|Correct the misleading comment and pick one contract for empty/unparseable input across all plugins (both return a bare root node, or both error). Add a host test pinning empty-source behavior for every language.|error-handling|30|code-review|claude|MEDIUM
MEDIUM|internal/astgroup/parsers/src/goparser/main.go:107|structural() returns true only for ast.Decl, ast.Stmt, and FuncLit. TypeSpec implements ast.Spec NOT ast.Decl, so it never passes the filter in the ast.Inspect walk. The TypeSpec case in nodeKind (line 124) and nodeName (line 139) is dead code: the type kind is never emitted by the Go parser, so a type Foo struct only surfaces as the wrapping gendecl block and the per-type block granularity in cover.go blockKinds is silently lost for Go.|Add TypeSpec (and likely ValueSpec if value-level blocks are wanted) to the structural() switch, or remove the dead type cases and document that Go groups types at gendecl granularity. Add a host test asserting type Foo struct{...} produces a type node.|correctness|60|code-review|claude|MEDIUM
LOW|internal/astgroup/parsers/src/goparser/main.go:170|The host caps input at 8MiB but there is no cap on the result JSON the guest allocates in emit(). A large or deeply nested source produces a node tree whose JSON allocation grows guest linear memory unbounded relative to the input cap, and there is no execution-timeout watchdog either. A pathological input can drive guest memory growth to a trap with no graceful degradation.|Bound the emitted tree (node count or output-byte ceiling) in the guest and emit a truncation/error node past the limit, or add a wazero memory-limit / context deadline on the parse call in the host.|security|60|code-review|claude|MEDIUM
HIGH|internal/astgroup/parsers/src/pyparser/go.mod:3|go.mod requires Go 1.26 which is unreleased/uncertain|Use the actually-installed Go version so `build.sh` can rebuild pyparser.wasm|maintainability|5|code-review|onestone|MEDIUM
LOW|internal/astgroup/parsers/src/pyparser/main.go:79|scanTripleQuotes heuristic treats `\"\"\"` inside a regular string as opening/closing a triple-quoted block|Mark as known limitation in a comment; this is a PoC parser but the docstring comment overstates correctness|maintainability|5|code-review|onestone|MEDIUM
LOW|internal/astgroup/parsers/src/pyparser/main.go:90|Indentation width counts each space as 1 and each tab as a flat +8 regardless of column. The Python tokenizer advances a tab to the next multiple of 8, so space-then-tab is column 8 there but 9 here. Files mixing tabs and spaces can compute inconsistent indent values, causing build to misnest blocks and emit spurious leaf stmt nodes via the defensive branch.|Expand tabs to the next multiple of 8 (indent += 8 - (indent % 8)) to match the Python tokenizer, or reject/flag tab-space-mixed indentation.|error-handling|15|code-review|claude|MEDIUM
MEDIUM|internal/astgroup/parsers/src/pyparser/main.go:107|scanTripleQuotes heuristic doesn't handle escaped quotes|Add escape-sequence handling or document known limitation for PoC parser|correctness|20|code-review|bob|MEDIUM
MEDIUM|internal/astgroup/parsers/src/pyparser/main.go:112|scanTripleQuotes and stripComment are quote/escape-unaware. A triple-quote appearing inside a # comment, or a # appearing inside a string literal, flips the multi-line-string state machine the wrong way, so arbitrary spans of real code get classified as string content and dropped from significantLines, silently erasing blocks. The heuristic disclaimer documents the risk but does not bound it: on unusual source the structural hash diverges from the true AST.|Run scanTripleQuotes only over the code portion (skip after an unquoted #) and skip triple-quotes occurring inside single-line strings. Add regression fixtures: a # containing a triple-quote, and a string literal containing #.|security|120|code-review|claude|MEDIUM
LOW|internal/astgroup/parsers/src/pyparser/main.go:139|else/elif/except/finally sit at the same indentation as their if/try, so build emits them as sibling block nodes, not part of one compound statement, and the if node's span excludes its else body. Defensible design, but it means CoveringBlock can never group a finding in the if arm with one in the else arm of the same statement, and the elif->if kind remap makes a chained if/elif look like several independent if siblings.|Confirm this is intended and document it next to blockKinds in cover.go; if compound-statement grouping is desired, attach trailing elif/else/except/finally clauses as children of the opening header rather than siblings.|maintainability|30|code-review|claude|MEDIUM
MEDIUM|internal/astgroup/parsers/src/pyparser/main.go:178|isHeader declares any line ending in ':' (after a naive #-strip and right-trim) a block opener. Multi-line dict/slice/annotation expressions trip this: data = {, a line "key":, or a slice x = arr[1: get treated as a compound-statement header and the following more-indented physical lines attach as a spurious child block. Since structure drives the Merkle hash and CoveringBlock, this silently fabricates blocks and can mis-group findings with no error surfaced.|Tighten isHeader to fire only when the line's first token is in compoundKeywords (require classify to return a compound kind) instead of trusting a trailing colon on arbitrary lines. Add fixtures for multi-line dict and slice.|correctness|60|code-review|claude|MEDIUM
LOW|internal/reconcile/astgrouping.go:25|astGrouperFor returns `nil, noop` when disabled but its cleanup is named identically to the active path; readers can confuse them|Parse the value with strconv.ParseBool (treat parse failure as not-disabled), or document the var as presence-only. At minimum the doc comment must state that any non-empty value including 0/false disables.|maintainability|15|code-review|onestone|MEDIUM
HIGH|internal/reconcile/astgrouping.go:25|The opt-out is gated on os.Getenv(astGroupingDisabledEnv) != "", so ANY non-empty value disables AST grouping, including the intuitively-on values ATCR_DISABLE_AST_GROUPING=0 and =false. A user who sets =false to KEEP the adopted primary signal silently reverts to legacy proximity, with no error and no log. For a reversible-adoption escape hatch, truthiness-by-presence is the wrong semantics.|Parse the value with strconv.ParseBool (treat parse failure as not-disabled), or document the var as presence-only. At minimum the doc comment must state that any non-empty value including 0/false disables.|maintainability|15|code-review|claude|MEDIUM
LOW|internal/reconcile/astgrouping.go:31|The cleanup closure discards the Close error (_ = g.Close()), which is the wazero runtime teardown error. A runtime that fails to release is invisible. Minor, but it is the only place the runtime lifecycle is closed in the production path.|Log the Close error via a diag writer rather than discarding it unconditionally.|error-handling|5|code-review|claude|MEDIUM
MEDIUM|internal/reconcile/gate.go:222|Wazero runtime + WASI imports are eagerly created for every reconcile even when no Go/Python files are present|Lazy-init the grouper on first GroupKey call (or skip construction when opts.Root is empty / no relevant findings)|performance|15|code-review|onestone|MEDIUM
MEDIUM|internal/reconcile/gate.go:243|A fresh Grouper, and thus a fresh wazero runtime (NewHost) with empty parser/tree caches, is constructed on every RunReconcile call and closed at function exit (gate.go defer closeGrouper). In the long-lived MCP server every reconcile request pays full WASI instantiation plus CompileModule/InstantiateModule for each language again; the compiled-module cache the Host comment touts (host.go:23-27) is thrown away between calls and never amortized across requests.|Hoist the Host (or whole Grouper) to a process-lifetime singleton owned by the MCP engine/CLI, guarded by its existing mutex, and reuse across RunReconcile calls. Keep per-run isolation only for the file-tree cache if staleness is a concern.|performance|120|code-review|claude|MEDIUM
LOW|internal/reconcile/grouper.go:54|File-level findings (Line<=0) grouped into single cluster per file|Verify this matches legacy proximity behavior for Line<=0 findings|correctness|10|code-review|bob|MEDIUM
MEDIUM|reconcile/cluster.go:66|cluster.go:14-19 advertises that proximity keeps the dedup comparison set bounded (a 3-line window) so DedupeCluster never blows up. AST grouping discards that: every finding inside one large function shares a MerkleHash and collapses into a single cluster regardless of line distance, and dedupeCluster then does pairwise PROBLEM-similarity over the whole group (reconcile.go:81-82). A 200-finding hotspot in one function goes from bounded windows to one O(n^2) cluster, the exact failure the proximity design avoided.|Cap keyed-cluster size before handing to dedupeCluster (fall back to proximity within an over-large keyed group), or document the new worst-case and confirm dedupeCluster is sub-quadratic. Add a stress test with many findings in one block.|performance|60|code-review|claude|MEDIUM
MEDIUM|reconcile/cluster.go:66|ClusterWith (in grouper.go) removes keyed findings from the line stream before running proximity on the unkeyed remainder. A finding that covers no AST node (empty key) at line 11 is isolated even though its proximity neighbors at lines 10 and 12 were pulled into a keyed cluster, so a duplicate pair straddling the keyed/unkeyed split that proximity-only would have compared and merged is never compared. AST grouping can REDUCE merges relative to the legacy path; the astgrouping.go:24-25 claim that it can only refine, never break, is false.|Cap keyed-cluster size before handing to dedupeCluster (fall back to proximity within an over-large keyed group), or document the new worst-case and confirm dedupeCluster is sub-quadratic. Add a stress test with many findings in one block.|performance|60|code-review|claude|MEDIUM
HIGH|reconcile/grouper.go:49|Incorrectly clusters all file-level findings together|Process all findings in file through grouper, then proximity cluster unkeyed|correctness|15|code-review|reviewer|MEDIUM
