# Merged TD Stream - Reconciled
# SEVERITY|FILE:LINE|PROBLEM|FIX|CATEGORY|EST_MINUTES|SOURCE|REVIEWERS|CONFIDENCE
LOW|internal/fanot/manifest_review_test.go:83|Unnecessary blank line after require.NoError|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanot/manifest_review_test.go:83|Unnecessary blank line after assert.Equal|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanot/manifest_review_test.go:84|Unnecessary blank line after assert.Equal|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanot/manifest_review_test.go:85|Unnecessary blank line after assert.Equal|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanot/manifest_review_test.go:87|Unnecessary blank line after function|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanot/manifest_review_test.go:90|Unnecessary blank line after require.NoError|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanot/manifest_review_test.go:92|Unnecessary blank line after assert.Equal|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanot/manifest_review_test.go:97|Unnecessary blank line after require.NoError|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanot/manifest_review_test.go:104|Unnecessary blank line after assert.Equal|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:158|Unnecessary blank line after package|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:159|Unnecessary blank line after package|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:160|Unnecessary blank line after package|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:161|Unnecessary blank line after package|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:162|Unnecessary blank line after package|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:163|Unnecessary blank line after package|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:163|Unnecessary blank line after t.Parallel()|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:164|Unnecessary blank line after package|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:164|Unnecessary blank line after t.Parallel()|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:165|Unnecessary blank line after package|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:165|Unnecessary blank line after t.Parallel()|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:165|Unnecessary blank line after require.NoError|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:166|Unnecessary blank line after package|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:166|Unnecessary blank line after t.Parallel()|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:166|Unnecessary blank line after require.NoError|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:167|Unnecessary blank line after package|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:167|Unnecessary blank line after t.Parallel()|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:167|Unnecessary blank line after require.NoError|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:167|Unnecessary blank line after require.NoError|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:168|Unnecessary blank line after package|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:168|Unnecessary blank line after t.Parallel()|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:168|Unnecessary blank line after require.NoError|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:168|Unnecessary blank line after require.NoError|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:169|Unnecessary blank line after package|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:169|Unnecessary blank line after t.Parallel()|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:169|Unnecessary blank line after require.NoError|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:169|Unnecessary blank line after require.NoError|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:170|Unnecessary blank line after package|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:170|Unnecessary blank line after t.Parallel()|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:170|Unnecessary blank line after require.NoError|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:170|Unnecessary blank line after require.NoError|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:170|Unnecessary blank line after require.Contains|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:171|Unnecessary blank line after function|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:171|Unnecessary blank line after t.Parallel()|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:171|Unnecessary blank line after require.NoError|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:171|Unnecessary blank line after require.NoError|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:171|Unnecessary blank line after require.Contains|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:172|Unnecessary blank line after function|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:172|Unnecessary blank line after t.Parallel()|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:172|Unnecessary blank line after require.NoError|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:172|Unnecessary blank line after require.NoError|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:172|Unnecessary blank line after require.Contains|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:173|Unnecessary blank line after t.Parallel()|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:173|Unnecessary blank line after require.NoError|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:173|Unnecessary blank line after require.NoError|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:173|Unnecessary blank line after require.Contains|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:173|Unnecessary blank line after assert.Equal|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:174|Unnecessary blank line after t.Parallel()|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:174|Unnecessary blank line after require.NoError|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:174|Unnecessary blank line after require.NoError|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:174|Unnecessary blank line after require.Contains|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:174|Unnecessary blank line after assert.Equal|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:174|Unnecessary blank line after assert.Equal|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:175|Unnecessary blank line after t.Parallel()|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:175|Unnecessary blank line after require.NoError|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:175|Unnecessary blank line after require.NoError|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:175|Unnecessary blank line after require.Contains|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:175|Unnecessary blank line after assert.Equal|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:175|Unnecessary blank line after assert.Equal|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:175|Unnecessary blank line after assert.Contains|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:176|Unnecessary blank line after t.Parallel()|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:176|Unnecessary blank line after require.NoError|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:176|Unnecessary blank line after require.NoError|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:176|Unnecessary blank line after require.Contains|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:176|Unnecessary blank line after assert.Equal|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:176|Unnecessary blank line after assert.Equal|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:176|Unnecessary blank line after assert.Contains|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:176|Unnecessary blank line after assert.True|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:177|Unnecessary blank line after require.NoError|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:177|Unnecessary blank line after require.NoError|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:177|Unnecessary blank line after require.Contains|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:177|Unnecessary blank line after assert.Equal|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:177|Unnecessary blank line after assert.Equal|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:177|Unnecessary blank line after assert.Contains|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:177|Unnecessary blank line after assert.True|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:178|Unnecessary blank line after require.NoError|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:178|Unnecessary blank line after require.NoError|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:178|Unnecessary blank line after require.NoError|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:178|Unnecessary blank line after require.Contains|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:178|Unnecessary blank line after assert.Equal|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:178|Unnecessary blank line after assert.Equal|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:178|Unnecessary blank line after assert.Contains|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:178|Unnecessary blank line after assert.True|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:179|Unnecessary blank line after require.NoError|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:179|Unnecessary blank line after require.Contains|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:179|Unnecessary blank line after assert.Equal|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:179|Unnecessary blank line after assert.Equal|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:179|Unnecessary blank line after assert.Contains|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:179|Unnecessary blank line after assert.True|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:180|Hardcoded test values reduce clarity|Replace magic strings with constants|maintainability|10|code-review|REVIEWER|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:180|Unnecessary blank line after require.NoError|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:180|Unnecessary blank line after require.NoError|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:180|Unnecessary blank line after require.Contains|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:180|Unnecessary blank line after assert.Equal|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:180|Unnecessary blank line after assert.Equal|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:180|Unnecessary blank line after assert.Contains|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:180|Unnecessary blank line after assert.True|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:181|Unnecessary blank line after package|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:181|Unnecessary blank line after require.Contains|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:181|Unnecessary blank line after assert.Equal|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:181|Unnecessary blank line after assert.Equal|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:181|Unnecessary blank line after assert.Contains|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:181|Unnecessary blank line after assert.True|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:182|Unnecessary blank line before if condition|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:182|Unnecessary blank line after require.Contains|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:182|Unnecessary blank line after assert.Equal|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:182|Unnecessary blank line after assert.Equal|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:182|Unnecessary blank line after assert.Contains|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:182|Unnecessary blank line after assert.True|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:183|E2E test asserts `"worktree"` mode because `PrepareReview` dirties the tree; this makes the test environment-dependent and brittle to test-order or repo-state changes|Add a setup step that explicitly dirties the tree (or use a separate test for live mode that ensures a clean tree) to remove the implicit dependency|maintainability|20|code-review|bruce|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:183|Unnecessary blank line after require.NoError|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:183|Unnecessary blank line after require.NoError|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:183|Unnecessary blank line after require.Contains|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:183|Unnecessary blank line after require.Contains|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:183|Unnecessary blank line after assert.Equal|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:183|Unnecessary blank line after assert.Equal|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:183|Unnecessary blank line after assert.Contains|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:183|Unnecessary blank line after assert.True|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:184|Unnecessary blank line before comment|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:184|Unnecessary blank line after assert.Equal|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:184|Unnecessary blank line after assert.Equal|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:184|Unnecessary blank line after assert.Contains|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:184|Unnecessary blank line after assert.True|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:185|Unnecessary type assertion in end-to-end test|Simplify by directly unmarshalling into struct|maintainability|3|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:185|Unnecessary blank line after assert.Equal|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:185|Unnecessary blank line after assert.Equal|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:185|Unnecessary blank line after assert.Contains|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:185|Unnecessary blank line after assert.True|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:186|Unnecessary blank line after require.Contains|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:186|Unnecessary blank line after require.Contains|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:186|Unnecessary blank line after assert.Equal|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:186|Unnecessary blank line after assert.Equal|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:186|Unnecessary blank line after assert.Equal|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:186|Unnecessary blank line after assert.Contains|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:186|Unnecessary blank line after assert.True|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:187|strings.HasSuffix does not verify path leaf boundary|Use filepath.Base(review.SnapshotWorktreePath) == head|correctness|2|code-review|bruce|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:187|Unnecessary require.Contains for "review" key|Remove redundant check since Unmarshal will fail if missing|maintainability|2|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:187|Unnecessary blank line after assert.Equal|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:187|Unnecessary blank line after assert.Equal|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:187|Unnecessary blank line after assert.Contains|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:187|Unnecessary blank line after assert.True|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:188|Missing timeout context in end-to-end test|Add context.WithTimeout to prevent hanging tests|performance|5|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:188|Unnecessary blank line after assert.Contains|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:188|Unnecessary blank line after assert.Contains|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:188|Unnecessary blank line after assert.True|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:189|Unnecessary blank line after assert.Equal|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:190|Unchecked error from json.Unmarshal|Handle potential JSON unmarshaling error|error-handling|3|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:190|Unnecessary blank line after assert.Equal|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:190|Unnecessary blank line after assert.Equal|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:191|Unnecessary blank line after assert.Contains|Remove blank line for consistency|maintainability|1|code-review|ace|MEDIUM
LOW|internal/fanout/engine_e2e_test.go:192|Redundant assert.Contains and assert.HasSuffix|Combine into single assertion with regex|maintainability|3|code-review|ace|MEDIUM
