# TD_STREAM_MERGED - Reconciled Technical Debt Items
# TARGET: 28.0_telemetry_expansion_cloud_sync (epic)
# SOURCES: claude, multi-agent
# Format: SEVERITY|FILE:LINE|PROBLEM|FIX|CATEGORY|EST_MINUTES|SOURCE|REVIEWERS|CONFIDENCE
# --- DATA BELOW THIS LINE ---
MEDIUM|internal/registry/telemetry_setting.go:56|SetTelemetrySetting symlink guard runs os.Lstat BEFORE withConfigLock and long before the os.Rename (spanning Stat/ReadFile/marshal/temp-write/fsync) - a TOCTOU: the path can be swapped to a symlink between check and rename. The guard is also skipped whenever Lstat returns any error (the err == nil gate), so a transiently-erroring path is treated as safe.|Perform the symlink check inside the lock immediately before the rename, or open the existing file O_NOFOLLOW and operate on the fd; treat a non-ErrNotExist Lstat error as a hard failure rather than proceeding.|security|60|code-review|claude|MEDIUM
LOW|internal/registry/telemetry_setting.go:92|The comment claims the write Mirrors the trust-store write (trust.go), but trust.go Save() performs no fsync of the temp file or parent dir - it is Chmod/Write/Close/Rename only. This telemetry write is actually stronger (adds tmp.Sync + syncDir), so the reference misleads a reader into thinking trust.go is already crash-safe (it is not).|Correct the comment to state this write hardens beyond trust.go, and separately consider back-porting the fsync to trust.go so both paths are crash-safe.|maintainability|15|code-review|claude|MEDIUM
MEDIUM|internal/registry/telemetry_setting.go:139|withConfigLock acquisition deadline is 60s but the stale-reclamation threshold is 300s. A process that crashed while holding the lock between 61s and 299s ago can neither be waited out (times out at 60s) nor reclaimed (not yet 300s stale), so every `config set` fails with timeout acquiring config lock for up to ~4 minutes with no recovery path.|Make the stale threshold <= the acquisition deadline (or extend the deadline past the stale threshold) so any lock old enough to time out is also old enough to reclaim; emit an actionable error naming the lock path.|correctness|30|code-review|claude|MEDIUM
LOW|internal/registry/telemetry_setting.go:145|The ownerFile WriteFile error is discarded; if it fails the lock is held with no epoch metadata, any concurrent waiter ReadFile(ownerFile) errors, the staleness branch is skipped, and the lock can never be reclaimed. If that holder crashes, every subsequent invocation times out at the 60s deadline until the directory is removed by hand.|Check the WriteFile error and abort acquisition on failure (releasing the lock), or treat an unreadable/absent ownerFile in the waiter as unconditionally stale after the deadline so a metadata-less lock is reclaimable.|correctness|30|code-review|claude|MEDIUM
HIGH|internal/registry/telemetry_setting.go:153|withConfigLock stale-lock reclamation is not atomic: a waiter that sees a stale ownerFile calls os.RemoveAll(lockDir) unconditionally without re-verifying staleness. If a second process reclaims first (RemoveAll then Mkdir then writes a fresh owner and enters fn), the first process's pending RemoveAll deletes the freshly-acquired valid lock and both run fn() concurrently, defeating serialization and causing a last-writer-wins lost update on config.yaml.|Reclaim via compare-and-swap: rename the stale lockDir to a unique name and only proceed if the rename succeeds, or re-read and re-confirm the epoch immediately before removal. Never issue an unconditional RemoveAll on a dir another racer may have just legitimately acquired.|correctness|120|code-review|claude|MEDIUM
LOW|internal/registry/telemetry_setting.go:190|configMapping treats any document with len(doc.Content) == 0 as empty and synthesizes a fresh mapping. A config file containing only comments unmarshals to a null document with text in HeadComment and empty Content, so the synthesized mapping discards those comments, contradicting the every other key and its comments survive promise for that stub case.|When Content is empty but the parsed doc carries head/foot comments, preserve them by attaching to the synthesized mapping node rather than replacing the document wholesale.|maintainability|30|code-review|claude|MEDIUM
MEDIUM|internal/scorecard/cloudsync.go:36|cloudHTTPClient is &http.Client{CheckRedirect: noRedirect} with a nil Transport, so it falls back to the shared http.DefaultTransport; the comment's claim that cloud-sync's connection pool and Transport are isolated from the process is false (only redirect policy is isolated). telemetry.Client shares the same nil-Transport while internal/llmclient actually sets a Transport, so the cited matching rationale is inconsistent.|Either set an explicit Transport (&http.Transport{...}) to make the isolation claim true (matching llmclient), or correct the comment to state the client reuses http.DefaultTransport and only isolates redirect policy.|maintainability|15|code-review|claude|MEDIUM
LOW|internal/scorecard/cloudsync.go:102|NewCloudSyncRecord empty-agent gate trims (strings.TrimSpace(a.Agent) == "") but the next line hashes the untrimmed value (HashPersonaID(a.Agent)), and HashPersonaID does no normalization. An agent name with surrounding whitespace passes the non-empty gate yet hashes to a different digest than the clean name, fragmenting the Persona Leaderboard into two buckets for the same identity.|Compute name := strings.TrimSpace(a.Agent) once and use it in both the gate and HashPersonaID(name); if raw fidelity is deliberate, document why the gate trims but the hash does not.|correctness|15|code-review|claude|MEDIUM
LOW|internal/scorecard/cloudsync.go:179|Push re-validates the endpoint defensively but never validates that apiKey is non-empty. A direct caller (Push is exported) passing an empty key sends Authorization: Bearer with a trailing space, wasting a round-trip and potentially being treated as an anonymous request server-side. Defensive posture is asymmetric: endpoint guarded, credential not.|Add an early guard if strings.TrimSpace(apiKey) == "" return an error before building the request, mirroring the endpoint re-validation, so the exported function fails closed on a missing credential.|security|15|code-review|claude|MEDIUM
LOW|internal/scorecard/cloudsync.go:204|Push drain is capped at io.LimitReader(resp.Body, 1<<16) with a comment that this enables keep-alive reuse; a server body larger than 64KB leaves bytes unread so Go cannot return the connection to the pool and reuse is silently defeated. Good DoS guard but the reuse rationale only holds for sub-64KB bodies.|Keep the bounded read as a safety cap but adjust the comment to reflect reuse only holds for small bodies, or drain fully with a hard cap sized to the expected small ack.|performance|5|code-review|claude|MEDIUM
MEDIUM|internal/scorecard/export_test.go:592|(TestRunLeaderboardExport_ByteForByteRegression) Byte-for-byte SHA-256 checksum pins the entire serialized output, making the test fail on any formatting, ordering, or whitespace change and obscuring the actual semantic contract|Replace checksum with structured assertions against parsed JSON fields|extensibility|30|code-review|kai|MEDIUM
HIGH|internal/scorecard/telemetry.go:12|Empty string input to HashPersonaID not tested despite unsafe.StringData edge case (disagreement: LOW vs HIGH)|Validate input or use standard []byte(raw) conversion; the allocation savings are not worth the panic surface in a hash function called on untrusted scorecard data|boundary|15|code-review|dax,mira,pace|HIGH
HIGH|internal/scorecard/telemetry.go:12|HashPersonaID claims pseudonymization but unsalted SHA-256 over a small enumerable set is dictionary-reversible; the privacy contract is misleading and the Leaderboard cannot claim anonymized aggregation (disagreement: MEDIUM vs HIGH)|Add HMAC-SHA256 with a provisioned, rotatable application secret (server-side keyed hash acceptable per KB entry); add TD-007 tracking label to the function|cryptography|120|code-review|dax,kai,mira,pace|HIGH
MEDIUM|internal/scorecard/telemetry.go:31|HashPersonaID uses unsafe.Slice(unsafe.StringData(raw), len(raw)) to avoid one []byte(raw) copy on a cold path (at most once per persona per run), so the saved allocation is negligible while the unsafe usage adds ongoing review burden and a footgun for maintainers. Correct for Go 1.25 but risk/benefit is inverted for a non-hot path. (disagreement: LOW vs MEDIUM)|Replace with plain sha256.Sum256([]byte(raw)); equally correct, trivial cost at this frequency, removes the unsafe import and its justification comment.|correctness|15|code-review|brad,kai,mira,otto,claude|HIGH
LOW|internal/telemetry/client.go:100|Client.Send spawns an unbounded detached goroutine per call with no concurrency cap or backpressure. Client is an exported reusable type; a future caller invoking Send in a loop (e.g. the MCP server path) against a slow/hung endpoint would accumulate goroutines up to (call-rate x 3s). Bounded to one goroutine at today's single-call sites, so latent not active.|Add a small buffered semaphore or bounded worker so Send drops the ping when N sends are already in flight rather than always spawning; assert goroutine count stays bounded under a burst against a blocking doRequest stub.|performance|30|code-review|claude|MEDIUM
LOW|internal/telemetry/client.go:118|The if timeout == 0 guard in send() is dead code: requestTimeout is unexported and New (the only constructor) always sets it to defaultRequestTimeout, so the branch can only run for a zero-value Client{} that nothing constructs. Reads as if a zero timeout is a supported configuration when it is not.|Remove the guard and read c.requestTimeout directly, or document the field is intentionally defended for zero-value use.|maintainability|5|code-review|claude|MEDIUM
LOW|internal/telemetry/client.go:140|The drain uses io.LimitReader(resp.Body, 1<<16) and the comment claims this lets the keep-alive connection be reused; if a response body exceeds 64KB it is only partially read before Close, so the connection is NOT reused - the opposite of the stated intent. Self-correcting and acks are tiny so impact is negligible, but the comment overstates the guarantee.|Either fully drain (telemetry responses are trivially small) or soften the comment to note the cap intentionally sacrifices reuse on oversized bodies.|maintainability|15|code-review|claude|MEDIUM
LOW|internal/telemetry/event.go:1|Event struct has no test for exact JSON field allowlist (privacy regression guard)|Add test marshaling Event and asserting keys are exactly [event,lang,lines,status]|testing|10|code-review|dax|MEDIUM
