MEDIUM|cmd/atcr/resume.go:52|Inconsistent error handling for flag conflicts|Use consistent error return pattern for all flag checks|maintainability|5|code-review|dax|MEDIUM
MEDIUM|internal/fanout/resume.go:85|sort.Strings modifies slices in-place without defensive copy|Create copies before sorting to avoid side effects|correctness|5|code-review|dax|MEDIUM
MEDIUM|internal/fanout/resume.go:104|Symlink traversal in agent status scan|Verify resolved path stays within reviewDir before reading|security|10|code-review|greta|MEDIUM
LOW|internal/fanout/resume.go:132|agentStatusName returns ok=false identically for a read error, a JSON unmarshal error, a non-OK status, and an empty Agent field. The fail-safe behavior is correct, but a corrupt status.json on disk produces zero operator signal: the agent silently re-runs (hitting a provider, cost+latency) with no warning that on-disk state was unreadable, hiding a real anomaly distinct from a legitimately-pending agent.|Keep the fail-safe behavior but emit a structured Warn (with path) when os.ReadFile or json.Unmarshal fails in agentStatusName, so corruption is greppable. Add a test asserting a log line on a corrupt status.json.|error-handling|30|code-review|claude|MEDIUM
LOW|internal/fanout/resume.go:163|Missing error context when manifest read fails|Wrap error with directory path for debugging|error-handling|5|code-review|dax|MEDIUM
MEDIUM|internal/fanout/resume.go:210|filterPendingSlots doesn't handle empty slots slice|Add explicit check for empty slots to avoid unnecessary processing|performance|5|code-review|dax|MEDIUM
LOW|internal/fanout/resume.go:280|Missing validation of poolDir path before RebuildPool|Validate poolDir exists before calling RebuildPool|error-handling|5|code-review|dax|MEDIUM
LOW|internal/fanout/resume.go:318|Unbounded file read during pool rebuild|Add size limit or stream parsing|security|10|code-review|greta|MEDIUM
LOW|internal/fanout/resume.go:323|ExecuteResume finalizes the manifest with m.Interrupted=interrupted and returns immediately if WriteManifest fails, with no best-effort fallback. ExecuteReview has a deliberate failure-summary + best-effort manifest fallback for the analogous WritePool-succeeded-but-WriteManifest-failed case. If a resume is itself interrupted (AC7) and this final manifest write fails, the on-disk manifest carries the original run's Interrupted value and the new partial state is lost.|On the RebuildPool-success path, if WriteManifest fails while interrupted is true, fall back to a best-effort marker write (or log loudly) before returning, mirroring review.go ExecuteReview. Verify by injecting a manifest-write failure under interruption.|error-handling|30|code-review|claude|MEDIUM
LOW|internal/fanout/resume.go:395|RebuildPool and CompletedAgents key the on-disk index by agentDirName(agent) basename with no duplicate guard, while the fresh WritePool path explicitly rejects two agents collapsing to the same sanitized basename. If a roster contains two names that sanitize to the same basename, onDisk[dirName] maps both to one directory, corrupting the union tally.|Add the same seen[dirName] duplicate-rejection in RebuildPool that WritePool has, or assert roster-name uniqueness-after-sanitization once in PrepareResume. Add a test with two roster names sharing a basename.|correctness|30|code-review|claude|MEDIUM
MEDIUM|internal/fanout/resume.go:413|RebuildPool appends a roster agent's AgentStatus unconditionally but only merges its findings when stream.ParseSource succeeds. A completed (status ok) agent whose findings.txt is unparseable/corrupt is still counted as Succeeded with its old FindingsCount, while its findings are silently dropped from the rebuilt merged findings.txt and summary.TotalFindings, with no error and no log line. Unique to the resume path: fresh WritePool builds findings from in-memory Results, never re-parsing from disk, so a resumed review's aggregate can quietly diverge from the original.|In RebuildPool's per-agent loop, when os.ReadFile succeeds but ParseSource returns an error, emit a structured Warn (agent + path) rather than silently skipping, or treat it as a hard failure for that roster member. Add a test that corrupts one completed agent's findings.txt and asserts ExecuteResume logs/errors instead of producing a short merged set.|correctness|60|code-review|claude|MEDIUM
LOW|internal/fanout/resume.go:482|reviewStageFromStatuses is a near-verbatim copy of reviewStageFor (one over []AgentStatus, one over []Result) with subtly different slice-aliasing shapes. Any future change to the manifest review-stage classification rule must be made in two places and the two can silently diverge.|Define one classifier over a small interface exposing ToolsRequested/ToolsDegraded/Agent and call it from both reviewStageFromStatuses and reviewStageFor. Verify both manifest paths produce identical ReviewStage for equivalent inputs.|maintainability|30|code-review|claude|MEDIUM
MEDIUM|internal/fanout/resume_test.go:48|writeAgentStatusFixture uses t.Fatal instead of require|Use require.NoError for consistent test style|maintainability|5|code-review|dax|MEDIUM
LOW|internal/fanout/resume_test.go:258|golangci-lint (errcheck) flags the second writeResumedAgents(...) call in TestWriteResumedAgents_PreservesFailedStatusOnNeverRun: its error return is not checked (the first call is wrapped in require.NoError). This fails the project's golangci-lint run CI gate on the current branch.|Wrap the second writeResumedAgents call in require.NoError(t, ...) (it is expected to succeed) or assign to _ with a justifying comment. Re-run golangci-lint run ./internal/fanout/... to confirm zero issues.|testing|5|code-review|claude|MEDIUM
