SEVERITY|FILE:LINE|PROBLEM|FIX|CATEGORY|EST_MINUTES|SOURCE|REVIEWERS|CONFIDENCE
LOW|internal/reconcile/reconcile.go:108|sortMerged (reconcile.go:108) and AtOrAbove (gate.go:45,49) do raw SeverityRank lookups - correct today only because mergeSeverity canonicalizes Merged.Severity upstream (merge.go:116) making merge.go normalization silently load-bearing for two other files. Every other consumer normalizes at the lookup site; reconcile sort/gate are lone outliers trusting upstream canonicalization - an invisible coupling a future simplification of mergeSeverity would break.|Normalize at the lookup site in sortMerged (reconcile.go:108) and AtOrAbove (gate.go:49 and threshold at :45) using SeverityRank[stream.NormalizeSeverity(...)] so each consumer is self-defending. Verify the gate test with a lowercase merged severity. This makes mergeSeverity normalization a convenience rather than a hidden correctness dependency.|maintainability|30|code-review|claude|MEDIUM|intent_note: deferred per epic §Clarifications - sortMerged and gate lookups operate on canonical data upstream; normalization is a no-op and was explicitly scoped out
LOW|internal/reconcile/severity_cons||||0|code-review|bob2-backup|MEDIUM
LOW|internal/reconcile/severity_consolidation_test.go:1|Missing package documentation|Add package comment describing purpose|maintainancy|3|code-review|Reviewer|MEDIUM
LOW|internal/reconcile/severity_consolidation_test.go:5|Unnecessary blank line after package declaration|Remove blank line|maintainancy|1|code-review|Reviewer|MEDIUM
LOW|internal/reconcile/severity_consolidation_test.go:11|Comparison lacks braces for single-line if|Add trailing comma after last element|maintainancy|2|code-review|Reviewer|MEDIUM
LOW|internal/reconcile/severity_consolidation_test.go:18|Test name too long|Shorten to TestMergeNormalizesMixedCase|maintainancy|2|code-review|Reviewer|MEDIUM
LOW|internal/reconcile/severity_consolidation_test.go:23|Comparison lacks braces for single-line if|Add trailing comma after last element|maintainancy|2|code-review|Reviewer|MEDIUM
LOW|internal/reconcile/severity_consolidation_test.go:30|Test name too long|Shorten to TestGrayZoneNormalizesMixedCase|maintainancy|2|code-review|Reviewer|MEDIUM
LOW|internal/reconcile/severity_consolidation_test.go:34|Comparison lacks braces for single-line if|Add trailing comma after last element|maintainancy|2|code-review|Reviewer|MEDIUM
LOW|internal/reconcile/severity_consolidation_test.go:42|Test name too long|Shorten to TestMergeNoDisagreementOnCase|maintainancy|2|code-review|Reviewer|MEDIUM
LOW|internal/reconcile/severity_consolidation_test.go:58|Missing final newline|Add newline at end of file|maintainancy|1|code-review|Reviewer|MEDIUM
LOW|internal/report/render.go:1|Missing package documentation|Add package comment describing purpose|maintainancy|3|code-review|Reviewer|MEDIUM
LOW|internal/report/render.go:5|Unnecessary blank line after package declaration|Remove blank line|maintainancy|1|code-review|Reviewer|MEDIUM
LOW|internal/report/render.go:122|severityRankOf now calls stream.NormalizeSeverity (ToUpper+TrimSpace allocating a new string) invoked inside sort.SliceStable comparator on both operands per comparison O(n log n) times. The pre-3.5 version did a bare reconcile.SeverityRank[s] lookup with no allocation so the consolidation introduced a minor per-compare allocation regression in the render hot path.|Decorate-sort: precompute rank := severityRankOf(f.Severity) once per finding into a parallel slice before sorting then compare cached ints in the closure. Verify existing render tests still pass; optional micro-benchmark on a few-hundred-finding slice. Low priority - only matters at high finding counts.|performance|15|code-review|claude|MEDIUM
LOW|internal/report/render.go:204|writeSummaryGrid buckets findings with counts[f.Severity] using raw severity against a map keyed by canonical reconcile.SevCritical/SevHigh/... constants. A mixed-case "high" from hand-edited findings.json misses its bucket and falls into OTHER row even though severityRankOf ranks it correctly as HIGH. The summary grid and findings list disagree on what counts as a known severity - the consolidation touched severityRankOf for exactly this casing reason but left its sibling counter un-normalized.|Normalize the bucket key: c ok := counts[canonicalize(f.Severity)] - a canonicalize helper already exists at render.go:411 and matches NormalizeSeverity. Add a render test with a lowercase severity asserting it lands in its canonical bucket not OTHER.|correctness|15|code-review|claude|MEDIUM
LOW|internal/report/render.go:415|Unnecessary blank line after function declaration|Add braces for consistency|maintainancy|2|code-review|Reviewer|MEDIUM
LOW|internal/report/render.go:424|Missing final newline|Add newline at end of file|maintainancy|1|code-review|Reviewer|MEDIUM
LOW|internal/report/render_test.go:1|Missing package documentation|Add package comment describing purpose|maintainancy|3|code-review|Reviewer|MEDIUM
LOW|internal/report/render_test.go:5|Unnecessary blank line after package declaration|Remove blank line|maintainancy|1|code-review|Reviewer|MEDIUM
LOW|internal/report/render_test.go:286|Comparison lacks braces for single-line if|Add braces for consistency|maintainancy|2|code-review|Reviewer|MEDIUM
LOW|internal/report/render_test.go:290|Comparison lacks braces for single-line if|Add test for mixed-case severity input|maintainancy|5|code-review|Reviewer|MEDIUM
LOW|internal/report/render_test.go:302|Missing final newline|Add newline at end of file|maintainancy|1|code-review|Reviewer|MEDIUM
LOW|internal/stream/severity.go:1|Missing package documentation|Add package comment describing purpose|maintainancy|3|code-review|Reviewer|MEDIUM
LOW|internal/stream/severity.go:5|Unnecessary blank line after package declaration|Add comment about read-only after init|maintainancy|2|code-review|Reviewer|MEDIUM
LOW|internal/stream/severity.go:14|Map initialization lacks trailing comma|Add trailing comma after last element|maintainancy|1|code-review|Reviewer|MEDIUM
LOW|internal/stream/severity.go:22|The NormalizeSeverity doc-comment claims "Every consumer normalizes through this single helper so their lookups stay identical and the fan-out/reconcile casing asymmetry cannot reappear." That invariant is not held: disagree.go (248 282 298 322 463) reconcile.go (108) and gate.go (45 49) still do raw un-normalized SeverityRank lookups. A misleading comment is worse than none - a future reader will trust the guarantee and skip defensive normalization.|Either make the claim true by normalizing the remaining raw lookup sites or soften the wording to "consumers SHOULD normalize." Verify by grepping SeverityRank[ for any key not wrapped in NormalizeSeverity. Prefer making it true (bundle with the disagree.go and reconcile/gate items).|maintainancy|15|code-review|greta,claude,Reviewer|HIGH|intent_note: doc-comment accuracy concern - epic scoped normalization to boundary sites only; doc-comment may overstate the invariant given the deliberately-raw internal lookups per epic §Clarifications
LOW|internal/stream/severity_test.go:1|Missing package documentation|Add package comment describing purpose|maintainancy|3|code-review|Reviewer|MEDIUM
LOW|internal/stream/severity_test.go:5|Unnecessary blank line after package declaration|Remove blank line|maintainancy|1|code-review|Reviewer|MEDIUM
LOW|internal/stream/severity_test.go:11|Comparison lacks braces for single-line if|Add trailing comma after last element|maintainancy|2|code-review|Reviewer|MEDIUM
LOW|internal/stream/severity_test.go:22|Test lacks edge case for whitespace-only input|Add trailing comma after last element|maintainancy|5|code-review|Reviewer|MEDIUM
LOW|internal/stream/severity_test.go:43|Missing final newline|Add newline at end of file|maintainancy|1|code-review|Reviewer|MEDIUM
LOW|internal/verify/severity.go:1|Missing package documentation|Add package comment describing purpose|maintainancy|3|code-review|Reviewer|MEDIUM
LOW|internal/verify/severity.go:5|Unnecessary blank line after function declaration|Add debug log when minSeverity is unknown|maintainancy|5|code-review|Reviewer|MEDIUM
LOW|internal/verify/severity.go:17|Missing final newline|Add newline at end of file|maintainancy|1|code-review|Reviewer|MEDIUM
